path,unit,asset,horizon_bd,panel,target_type,level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_mkt_mom_63,ctx_mkt_rv_63,ctx_mom_mom_63,ctx_usd_mom_63,ctx_usd_rv_63,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m
units/t2-F1-ai-mom-2024/xy/MOM__h127.parquet,t2-F1-ai-mom-2024,MOM,127,factors_daily,log_return,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-aud-on-hold-2016/xy/AUD__h126.parquet,t2-F1-aud-on-hold-2016,AUD,126,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-aud-on-hold-2016/xy/AUD__h189.parquet,t2-F1-aud-on-hold-2016,AUD,189,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-cad-boc-2017/xy/CAD__h126.parquet,t2-F1-cad-boc-2017,CAD,126,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-cad-boc-2017/xy/CAD__h189.parquet,t2-F1-cad-boc-2017,CAD,189,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-chf-highly-valued-2021/xy/CHF__h126.parquet,t2-F1-chf-highly-valued-2021,CHF,126,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-chf-highly-valued-2021/xy/CHF__h189.parquet,t2-F1-chf-highly-valued-2021,CHF,189,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-conflicting-texts-2024/xy/UST_10Y__h126.parquet,t2-F1-conflicting-texts-2024,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-conflicting-texts-2024/xy/UST_10Y__h189.parquet,t2-F1-conflicting-texts-2024,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-considerable-period-2003/xy/UST_10Y__h126.parquet,t2-F1-considerable-period-2003,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-considerable-period-2003/xy/UST_10Y__h189.parquet,t2-F1-considerable-period-2003,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-conundrum-2005/xy/UST_10Y__h126.parquet,t2-F1-conundrum-2005,UST_10Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-conundrum-2005/xy/UST_10Y__h189.parquet,t2-F1-conundrum-2005,UST_10Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-cpi-glidepath-2023/xy/CPI_ALL__h140.parquet,t2-F1-cpi-glidepath-2023,CPI_ALL,140,macro_monthly,level,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
units/t2-F1-cpi-glidepath-2023/xy/CPI_ALL__h160.parquet,t2-F1-cpi-glidepath-2023,CPI_ALL,160,macro_monthly,level,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
units/t2-F1-dkk-peg-2019/xy/DKK__h129.parquet,t2-F1-dkk-peg-2019,DKK,129,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-eur-range-2017/xy/EUR__h126.parquet,t2-F1-eur-range-2017,EUR,126,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-eur-range-2017/xy/EUR__h189.parquet,t2-F1-eur-range-2017,EUR,189,g10_fx_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-fed-put-2019/xy/MKT__h128.parquet,t2-F1-fed-put-2019,MKT,128,factors_daily,log_return,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
units/t2-F1-greater-confidence-2024/xy/UST_2Y__h126.parquet,t2-F1-greater-confidence-2024,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-greater-confidence-2024/xy/UST_2Y__h189.parquet,t2-F1-greater-confidence-2024,UST_2Y,189,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
units/t2-F1-hawkish-cut-2024/xy/UST_2Y__h126.parquet,t2-F1-hawkish-cut-2024,UST_2Y,126,rates_daily,level,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
