unit,asset,horizon_bd,target_type,panel,freq,asof,steps_ahead,n_train,n_predict,n_features,features,path
t2-F1-ai-mom-2024,MOM,127,log_return,factors_daily,daily,2024-05-31,127,6015,1,16,"mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_mkt_mom_63,ctx_mkt_rv_63,ctx_mom_mom_63",units/t2-F1-ai-mom-2024/xy/MOM__h127.parquet
t2-F1-aud-on-hold-2016,AUD,126,level,g10_fx_daily,daily,2016-11-01,126,4106,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-aud-on-hold-2016/xy/AUD__h126.parquet
t2-F1-aud-on-hold-2016,AUD,189,level,g10_fx_daily,daily,2016-11-01,189,4043,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-aud-on-hold-2016/xy/AUD__h189.parquet
t2-F1-cad-boc-2017,CAD,126,level,g10_fx_daily,daily,2017-07-12,126,4278,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-cad-boc-2017/xy/CAD__h126.parquet
t2-F1-cad-boc-2017,CAD,189,level,g10_fx_daily,daily,2017-07-12,189,4215,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-cad-boc-2017/xy/CAD__h189.parquet
t2-F1-chf-highly-valued-2021,CHF,126,level,g10_fx_daily,daily,2021-06-17,126,5258,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-chf-highly-valued-2021/xy/CHF__h126.parquet
t2-F1-chf-highly-valued-2021,CHF,189,level,g10_fx_daily,daily,2021-06-17,189,5195,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-chf-highly-valued-2021/xy/CHF__h189.parquet
t2-F1-conflicting-texts-2024,UST_10Y,126,level,rates_daily,daily,2024-06-12,126,5990,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-conflicting-texts-2024/xy/UST_10Y__h126.parquet
t2-F1-conflicting-texts-2024,UST_10Y,189,level,rates_daily,daily,2024-06-12,189,5927,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-conflicting-texts-2024/xy/UST_10Y__h189.parquet
t2-F1-considerable-period-2003,UST_10Y,126,level,rates_daily,daily,2003-08-12,126,777,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-considerable-period-2003/xy/UST_10Y__h126.parquet
t2-F1-considerable-period-2003,UST_10Y,189,level,rates_daily,daily,2003-08-12,189,714,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-considerable-period-2003/xy/UST_10Y__h189.parquet
t2-F1-conundrum-2005,UST_10Y,126,level,rates_daily,daily,2005-02-18,126,1157,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-conundrum-2005/xy/UST_10Y__h126.parquet
t2-F1-conundrum-2005,UST_10Y,189,level,rates_daily,daily,2005-02-18,189,1094,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-conundrum-2005/xy/UST_10Y__h189.parquet
t2-F1-cpi-glidepath-2023,CPI_ALL,140,level,macro_monthly,monthly,2023-07-12,8,273,1,18,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_63,rv_252,ewma_vol,skew_252,last_step,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m",units/t2-F1-cpi-glidepath-2023/xy/CPI_ALL__h140.parquet
t2-F1-cpi-glidepath-2023,CPI_ALL,160,level,macro_monthly,monthly,2023-07-12,9,272,1,18,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_63,rv_252,ewma_vol,skew_252,last_step,ctx_cpi_yoy,ctx_core_yoy,ctx_unrate,ctx_unrate_chg_3,ctx_nfp_3m",units/t2-F1-cpi-glidepath-2023/xy/CPI_ALL__h160.parquet
t2-F1-dkk-peg-2019,DKK,129,level,g10_fx_daily,daily,2019-03-01,129,4680,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-dkk-peg-2019/xy/DKK__h129.parquet
t2-F1-eur-range-2017,EUR,126,level,g10_fx_daily,daily,2017-09-07,126,4318,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-eur-range-2017/xy/EUR__h126.parquet
t2-F1-eur-range-2017,EUR,189,level,g10_fx_daily,daily,2017-09-07,189,4255,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-eur-range-2017/xy/EUR__h189.parquet
t2-F1-fed-put-2019,MKT,128,log_return,factors_daily,daily,2019-06-04,128,4757,1,16,"mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_mkt_mom_63,ctx_mkt_rv_63,ctx_mom_mom_63",units/t2-F1-fed-put-2019/xy/MKT__h128.parquet
t2-F1-greater-confidence-2024,UST_2Y,126,level,rates_daily,daily,2024-01-31,126,5898,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-greater-confidence-2024/xy/UST_2Y__h126.parquet
t2-F1-greater-confidence-2024,UST_2Y,189,level,rates_daily,daily,2024-01-31,189,5835,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-greater-confidence-2024/xy/UST_2Y__h189.parquet
t2-F1-hawkish-cut-2024,UST_2Y,126,level,rates_daily,daily,2024-12-18,126,6119,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-hawkish-cut-2024/xy/UST_2Y__h126.parquet
t2-F1-hawkish-cut-2024,UST_2Y,189,level,rates_daily,daily,2024-12-18,189,6056,1,21,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_slope_10_2,ctx_slope_5_2,ctx_curv_2_5_10,ctx_ust2y,ctx_ust10y,ctx_slope_mom_63",units/t2-F1-hawkish-cut-2024/xy/UST_2Y__h189.parquet
t2-F1-jpy-ycc-flex-2018,JPY,126,level,g10_fx_daily,daily,2018-07-31,126,4542,1,17,"level,log_level,mom_21,mom_63,mom_126,mom_252,z_252,pos_252,rv_21,rv_63,rv_252,ewma_vol,vol_ratio,skew_252,last_step,ctx_usd_mom_63,ctx_usd_rv_63",units/t2-F1-jpy-ycc-flex-2018/xy/JPY__h126.parquet
